2026-03-13 00:05:24.808 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2026-03-13 00:05:24.867 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:5ms 获取用户信息成功
2026-03-13 00:05:24.998 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:27ms 获取用户上传文件成功
2026-03-13 00:05:28.316 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [DELETE_DOCUMENT] 耗时:206ms 文档删除成功
2026-03-13 00:05:28.356 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:7ms 获取用户上传文件成功
2026-03-13 00:05:34.734 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [UPLOAD_CHUNK] 耗时:80ms 分片上传成功
2026-03-13 00:05:35.045 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [MERGE_FILE] 耗时:239ms 文件合并成功
2026-03-13 00:05:36.131 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [PREVIEW_FILE_BY_NAME] 耗时:22ms 文件预览内容获取成功
2026-03-13 00:08:48.402 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2026-03-13 00:08:48.829 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [ADMIN_GET_ALL_CONVERSATIONS] 耗时:35ms 管理员查询对话历史成功
2026-03-13 00:08:51.243 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2026-03-13 00:08:51.582 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_CONVERSATIONS] 耗时:7ms 获取对话历史成功
2026-03-13 00:17:51.363 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2026-03-13 00:17:51.621 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.performance - [性能] [ADMIN_GET_ALL_CONVERSATIONS] 耗时:10ms 管理员查询对话历史成功
2026-03-13 00:17:51.695 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:5ms 获取用户信息成功
2026-03-13 00:17:52.323 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:8ms 获取用户上传文件成功
2026-03-13 00:18:00.575 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [UPLOAD_CHUNK] 耗时:29ms 分片上传成功
2026-03-13 00:18:00.832 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [MERGE_FILE] 耗时:38ms 文件合并成功
2026-03-13 00:18:02.248 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [PREVIEW_FILE_BY_NAME] 耗时:9ms 文件预览内容获取成功
2026-03-13 00:28:00.248 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:5ms 获取用户信息成功
2026-03-13 00:28:00.310 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:9ms 获取用户信息成功
2026-03-13 00:28:00.438 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:27ms 获取用户上传文件成功
2026-03-13 00:28:02.491 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [DELETE_DOCUMENT] 耗时:221ms 文档删除成功
2026-03-13 00:28:02.541 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:13ms 获取用户上传文件成功
2026-03-13 00:28:03.895 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [DELETE_DOCUMENT] 耗时:28ms 文档删除成功
2026-03-13 00:28:03.938 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:10ms 获取用户上传文件成功
2026-03-13 00:28:10.654 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [UPLOAD_CHUNK] 耗时:71ms 分片上传成功
2026-03-13 00:28:11.102 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [MERGE_FILE] 耗时:254ms 文件合并成功
2026-03-13 00:28:11.910 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [PREVIEW_FILE_BY_NAME] 耗时:23ms 文件预览内容获取成功
2026-03-13 00:36:00.290 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:5ms 获取用户信息成功
2026-03-13 00:36:00.349 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:5ms 获取用户信息成功
2026-03-13 00:36:00.479 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:28ms 获取用户上传文件成功
2026-03-13 00:36:02.593 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [DELETE_DOCUMENT] 耗时:219ms 文档删除成功
2026-03-13 00:36:02.637 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:8ms 获取用户上传文件成功
2026-03-13 00:36:08.634 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [UPLOAD_CHUNK] 耗时:88ms 分片上传成功
2026-03-13 00:36:09.223 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [MERGE_FILE] 耗时:225ms 文件合并成功
2026-03-13 00:36:10.348 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [PREVIEW_FILE_BY_NAME] 耗时:28ms 文件预览内容获取成功
2026-03-13 00:40:44.817 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2026-03-13 00:40:44.864 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2026-03-13 00:40:44.998 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:31ms 获取用户上传文件成功
2026-03-13 00:40:46.588 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [PREVIEW_FILE_BY_NAME] 耗时:893ms 文件预览内容获取成功
2026-03-13 00:40:52.700 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [PREVIEW_FILE_BY_NAME] 耗时:53ms 文件预览内容获取成功
2026-03-13 00:43:27.606 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:6ms 获取用户信息成功
2026-03-13 00:43:27.690 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:10ms 获取用户信息成功
2026-03-13 00:43:27.928 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:10ms 获取用户上传文件成功
2026-03-13 00:44:10.247 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [UPLOAD_CHUNK] 耗时:108ms 分片上传成功
2026-03-13 00:44:10.833 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [MERGE_FILE] 耗时:231ms 文件合并成功
