2026-03-14 23:23:29.770 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [USER_LOGIN] 耗时:136ms 登录成功
2026-03-14 23:23:29.843 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:11ms 获取用户信息成功
2026-03-14 23:23:29.907 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:12ms 获取用户信息成功
2026-03-14 23:23:30.562 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_CONVERSATIONS] 耗时:42ms 获取对话历史成功
2026-03-14 23:23:33.068 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:7ms 获取用户信息成功
2026-03-14 23:23:34.268 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_ACCESSIBLE_FILES] 耗时:73ms 获取可访问文件成功
2026-03-14 23:23:48.238 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.performance - [性能] [UPLOAD_CHUNK] 耗时:389ms 分片上传成功
2026-03-14 23:23:48.981 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [MERGE_FILE] 耗时:393ms 文件合并成功
2026-03-14 23:25:15.326 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:6ms 获取用户信息成功
2026-03-14 23:25:15.374 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:11ms 获取用户信息成功
2026-03-14 23:25:15.556 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_ACCESSIBLE_FILES] 耗时:67ms 获取可访问文件成功
2026-03-14 23:27:32.953 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:7ms 获取用户信息成功
2026-03-14 23:27:33.008 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:8ms 获取用户信息成功
2026-03-14 23:27:33.268 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_ACCESSIBLE_FILES] 耗时:72ms 获取可访问文件成功
2026-03-14 23:27:51.851 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [UPLOAD_CHUNK] 耗时:51ms 分片上传成功
2026-03-14 23:27:52.271 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [MERGE_FILE] 耗时:72ms 文件合并成功
2026-03-14 23:28:48.400 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:5ms 获取用户信息成功
2026-03-14 23:28:48.438 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:7ms 获取用户信息成功
2026-03-14 23:28:48.628 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_ACCESSIBLE_FILES] 耗时:54ms 获取可访问文件成功
2026-03-14 23:28:51.674 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [DELETE_DOCUMENT] 耗时:261ms 文档删除成功
2026-03-14 23:28:51.746 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_ACCESSIBLE_FILES] 耗时:27ms 获取可访问文件成功
2026-03-14 23:28:59.175 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [UPLOAD_CHUNK] 耗时:39ms 分片上传成功
2026-03-14 23:28:59.260 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.performance - [性能] [MERGE_FILE] 耗时:52ms 文件合并成功
2026-03-14 23:31:11.379 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:7ms 获取用户信息成功
